normalized_name,permalink
maufait,https://www.crunchbase.com/organization/maufait
tidalwave trader,https://www.crunchbase.com/organization/tidalwave-trader
merchantcircle,https://www.crunchbase.com/organization/merchantcircle
tastespace,https://www.crunchbase.com/organization/tastespace
minekey,https://www.crunchbase.com/organization/minekey
mobeam,https://www.crunchbase.com/organization/mobeam
repairpal,https://www.crunchbase.com/organization/repairpal
wander,https://www.crunchbase.com/organization/wander
xconomy,https://www.crunchbase.com/organization/xconomy
radarfind,https://www.crunchbase.com/organization/radarfind
brickfish,https://www.crunchbase.com/organization/brickfish
inspiration biopharmaceuticals,https://www.crunchbase.com/organization/inspiration-biopharmaceuticals
asure software,https://www.crunchbase.com/organization/asure-software
dipity,https://www.crunchbase.com/organization/dipity
dogtime media,https://www.crunchbase.com/organization/dogtimemedia
newmerix,https://www.crunchbase.com/organization/newmerix
streetfire,https://www.crunchbase.com/organization/streetfire
squarespace,https://www.crunchbase.com/organization/squarespace
lifesquare,https://www.crunchbase.com/organization/lifesquare
docverse,https://www.crunchbase.com/organization/docverse
rubysophic,https://www.crunchbase.com/organization/rubysophic
cookstr,https://www.crunchbase.com/organization/cookstr
trackvia,https://www.crunchbase.com/organization/trackvia
loopt,https://www.crunchbase.com/organization/loopt
yipit,https://www.crunchbase.com/organization/yipit
open xchange,https://www.crunchbase.com/organization/open-xchange
tivix,https://www.crunchbase.com/organization/tivix
virgance,https://www.crunchbase.com/organization/virgance
livebuzz,https://www.crunchbase.com/organization/livebuzz-inc
cv ingenuity,https://www.crunchbase.com/organization/cv-ingenuity
profyle,https://www.crunchbase.com/organization/profyle
mangofizz jobs,https://www.crunchbase.com/organization/mangofizz-jobs
bridgeline digital,https://www.crunchbase.com/organization/bridgeline-digital
pivotlink,https://www.crunchbase.com/organization/pivotlink-formerly-seatab
clearwire,https://www.crunchbase.com/organization/clearwire
trx systems,https://www.crunchbase.com/organization/trx-systems
kidthing,https://www.crunchbase.com/organization/kidthing
getback,https://www.crunchbase.com/organization/getback
placely,https://www.crunchbase.com/organization/placely
sli systems,https://www.crunchbase.com/organization/sli-systems
wrapp,https://www.crunchbase.com/organization/wrapp
globalcrypto,https://www.crunchbase.com/organization/globalcrypto
liveminutes,https://www.crunchbase.com/organization/liveminutes
vobile,https://www.crunchbase.com/organization/vobile
flipswap,https://www.crunchbase.com/organization/flipswap
cassatt,https://www.crunchbase.com/organization/cassatt
tvplus,https://www.crunchbase.com/organization/tvplus
clearchoice holdings,https://www.crunchbase.com/organization/clearchoice-holdings
deepdyve,https://www.crunchbase.com/organization/deepdyve
pageflakes,https://www.crunchbase.com/organization/pageflakes
tenrox by upland,https://www.crunchbase.com/organization/tenrox
billeo,https://www.crunchbase.com/organization/billeo
autotask,https://www.crunchbase.com/organization/autotask
howstuffworks,https://www.crunchbase.com/organization/howstuffworks
bitleap,https://www.crunchbase.com/organization/bitleap
neighborland,https://www.crunchbase.com/organization/neighborland
liquor,https://www.crunchbase.com/organization/liquor-com
spree commerce,https://www.crunchbase.com/organization/spree-commerce
peerapp,https://www.crunchbase.com/organization/peerapp
geomagic,https://www.crunchbase.com/organization/geomagic
realself,https://www.crunchbase.com/organization/realself
serena lily,https://www.crunchbase.com/organization/serena-lily
avantra biosciences,https://www.crunchbase.com/organization/avantra-biosciences
caring,https://www.crunchbase.com/organization/caring-com
luckycal,https://www.crunchbase.com/organization/luckycal
safe shepherd,https://www.crunchbase.com/organization/safe-shepherd
clearleap,https://www.crunchbase.com/organization/clearleap
salveo specialty pharmacy,https://www.crunchbase.com/organization/salveo-specialty-pharmacy
quantopian,https://www.crunchbase.com/organization/quantopian
mymedleads,https://www.crunchbase.com/organization/mymedleads-com
kynetx,https://www.crunchbase.com/organization/kynetx
checkinon me,https://www.crunchbase.com/organization/checkinon-me
kaching,https://www.crunchbase.com/organization/kaching-coupons
azelon pharmaceuticals,https://www.crunchbase.com/organization/azelon-pharmaceuticals
cleave biosciences,https://www.crunchbase.com/organization/cleave-biosciences
rescuetime,https://www.crunchbase.com/organization/rescuetime
rollstream,https://www.crunchbase.com/organization/rollstream
imagine communications,https://www.crunchbase.com/organization/imagine-communications
ovascience,https://www.crunchbase.com/organization/ovascience
robot app store,https://www.crunchbase.com/organization/robotappstore
phone,https://www.crunchbase.com/organization/phone-com
love with food,https://www.crunchbase.com/organization/love-with-food
ebridge,https://www.crunchbase.com/organization/ebridge
saltlick labs,https://www.crunchbase.com/organization/saltlick-labs
agradis,https://www.crunchbase.com/organization/agradis
carnegie speech,https://www.crunchbase.com/organization/carnegie-speech
contactually,https://www.crunchbase.com/organization/contactually
wuiper,https://www.crunchbase.com/organization/wuiper
behind the burner,https://www.crunchbase.com/organization/behind-the-burner
ichange,https://www.crunchbase.com/organization/ichange
vobi,https://www.crunchbase.com/organization/vobi
devkinetic designs,https://www.crunchbase.com/organization/devkinetic-designs
valant medical solutions,https://www.crunchbase.com/organization/valant-medical-solutions
climber,https://www.crunchbase.com/organization/climber-com
attenex,https://www.crunchbase.com/organization/attenex
origami labs,https://www.crunchbase.com/organization/origami-labs
datto,https://www.crunchbase.com/organization/datto
sage therapeutics,https://www.crunchbase.com/organization/sage-therapeutics
omnistrat,https://www.crunchbase.com/organization/omnistrat
have to have,https://www.crunchbase.com/organization/have-to-have
arteaus therapeutics,https://www.crunchbase.com/organization/arteaus-therapeutics
endoevolution,https://www.crunchbase.com/organization/endoevolution
visiongate,https://www.crunchbase.com/organization/visiongate
double encore,https://www.crunchbase.com/organization/double-encore
amadesa,https://www.crunchbase.com/organization/amadesa
remitly,https://www.crunchbase.com/organization/remitly
globallogic,https://www.crunchbase.com/organization/globallogic
callcopy,https://www.crunchbase.com/organization/callcopy
dermira,https://www.crunchbase.com/organization/dermira
likebright,https://www.crunchbase.com/organization/likebright
firefly bioworks,https://www.crunchbase.com/organization/firefly-bioworks
flexminder,https://www.crunchbase.com/organization/flexminder
heroic,https://www.crunchbase.com/organization/heroic
mobilereactor,https://www.crunchbase.com/organization/mobilereactor
conscious box,https://www.crunchbase.com/organization/conscious-box
sonatype,https://www.crunchbase.com/organization/sonatype
neri,https://www.crunchbase.com/organization/neri
gamelayers,https://www.crunchbase.com/organization/gamelayers
mention mobile,https://www.crunchbase.com/organization/mention-mobile
storenvy,https://www.crunchbase.com/organization/storenvy
gizmoz,https://www.crunchbase.com/organization/gizmoz
ravn,https://www.crunchbase.com/organization/ravn
mogreet,https://www.crunchbase.com/organization/mogreet
foodtoeat,https://www.crunchbase.com/organization/foodtoeat
spearfysh,https://www.crunchbase.com/organization/spearfysh
navigating cancer,https://www.crunchbase.com/organization/navigating-cancer
open garden,https://www.crunchbase.com/organization/open-garden
autovirt,https://www.crunchbase.com/organization/autovirt
zoji,https://www.crunchbase.com/organization/zoji
wichorus,https://www.crunchbase.com/organization/wichorus
trusted insight,https://www.crunchbase.com/organization/trusted-insight
lodo software,https://www.crunchbase.com/organization/lodo-software
feeseeker com,https://www.crunchbase.com/organization/feeseeker-com-llc
mutualink,https://www.crunchbase.com/organization/mutualink
grouptalent,https://www.crunchbase.com/organization/grouptalent
dnn,https://www.crunchbase.com/organization/dotnetnuke-corporatio
mieple,https://www.crunchbase.com/organization/mieple
mx orthopedics,https://www.crunchbase.com/organization/mx-orthopedics
raffstar,https://www.crunchbase.com/organization/raffstar
samegrain,https://www.crunchbase.com/organization/samegrain
entrecard,https://www.crunchbase.com/organization/entrecard
logmein,https://www.crunchbase.com/organization/logmein
agily networks,https://www.crunchbase.com/organization/agily-networks
fedtax,https://www.crunchbase.com/organization/fedtax
docracy,https://www.crunchbase.com/organization/docracy
prolacta bioscience,https://www.crunchbase.com/organization/prolacta-bioscience
1stdibs,https://www.crunchbase.com/organization/1stdibs
clipboard,https://www.crunchbase.com/organization/clipboard
happier,https://www.crunchbase.com/organization/happier-com
comr se,https://www.crunchbase.com/organization/comr-es
hively,https://www.crunchbase.com/organization/hively
zeroturnaround,https://www.crunchbase.com/organization/zeroturnaround
impulcity,https://www.crunchbase.com/organization/impulcity
webook,https://www.crunchbase.com/organization/webook
sqord,https://www.crunchbase.com/organization/sqord
heartbeat,https://www.crunchbase.com/organization/heartbeat-2
omada health,https://www.crunchbase.com/organization/omada-health
snapsheet,https://www.crunchbase.com/organization/bodyshopbids
docphin,https://www.crunchbase.com/organization/docphin
inova labs,https://www.crunchbase.com/organization/inova-labs
saborstudio,https://www.crunchbase.com/organization/saborstudio
uppidy,https://www.crunchbase.com/organization/uppidy
hollr,https://www.crunchbase.com/organization/hollr
koupon media,https://www.crunchbase.com/organization/koupon-media
hulafrog,https://www.crunchbase.com/organization/hulafrog
glooko,https://www.crunchbase.com/organization/glooko
bring light,https://www.crunchbase.com/organization/bringlight
loopnet,https://www.crunchbase.com/organization/loopnet
clearserve,https://www.crunchbase.com/organization/clearserve
apprema,https://www.crunchbase.com/organization/apprema
avaxia biologics,https://www.crunchbase.com/organization/avaxia-biologics
textbooktime textbook time,https://www.crunchbase.com/organization/textbooktime-com-textbook-time
zirtual,https://www.crunchbase.com/organization/zirtual
motostrano,https://www.crunchbase.com/organization/motostrano
medivantix technologies,https://www.crunchbase.com/organization/medivantix-technologies
verican,https://www.crunchbase.com/organization/verican
sitebrains,https://www.crunchbase.com/organization/sitebrains
spacecraft,https://www.crunchbase.com/organization/spacecraft
fiveruns,https://www.crunchbase.com/organization/fiveruns
kojami,https://www.crunchbase.com/organization/kojami
stitch es,https://www.crunchbase.com/organization/stitch-es
bebo,https://www.crunchbase.com/organization/bebo
rentenna,https://www.crunchbase.com/organization/rentenna
virtual bridges,https://www.crunchbase.com/organization/virtual-bridges
allena pharmaceuticals,https://www.crunchbase.com/organization/allena-pharmaceuticals
brit,https://www.crunchbase.com/organization/brit
connexin software,https://www.crunchbase.com/organization/connexin-software
stop being watched,https://www.crunchbase.com/organization/stop-being-watched
1daymakeover,https://www.crunchbase.com/organization/1daymakeover
scripted,https://www.crunchbase.com/organization/scripted
flare code,https://www.crunchbase.com/organization/flare-code
authorgen,https://www.crunchbase.com/organization/authorgen
goodpeople,https://www.crunchbase.com/organization/good-people
ifttt,https://www.crunchbase.com/organization/if-this-then-that
catalog spree,https://www.crunchbase.com/organization/catalog-spree
c vibes,https://www.crunchbase.com/organization/c-vibes
localeats,https://www.crunchbase.com/organization/localeats
deets,https://www.crunchbase.com/organization/deets
appsame,https://www.crunchbase.com/organization/appsame
revel touch,https://www.crunchbase.com/organization/revel-touch
gumroad,https://www.crunchbase.com/organization/gumroad
evariant,https://www.crunchbase.com/organization/evariant
verix,https://www.crunchbase.com/organization/verix
done,https://www.crunchbase.com/organization/done
skribit,https://www.crunchbase.com/organization/skribit
tins ly,https://www.crunchbase.com/organization/tins-ly
nomorerack,https://www.crunchbase.com/organization/nomorerack
computek industries,https://www.crunchbase.com/organization/computek-industries-llc
motwin,https://www.crunchbase.com/organization/motwin
tv interactive systems,https://www.crunchbase.com/organization/tv-interactive-systems
streamlink software,https://www.crunchbase.com/organization/streamlink-software
kzo innovations,https://www.crunchbase.com/organization/kzo-innovations
3seventy,https://www.crunchbase.com/organization/3seventy
giving assistant,https://www.crunchbase.com/organization/giving-assistant
waddle,https://www.crunchbase.com/organization/waddle
hark,https://www.crunchbase.com/organization/hark
certpoint systems,https://www.crunchbase.com/organization/certpoint-systems
acufocus,https://www.crunchbase.com/organization/acufocus
mobimagic,https://www.crunchbase.com/organization/mobimagic
plura processing,https://www.crunchbase.com/organization/plura-processing
conexus it,https://www.crunchbase.com/organization/conexus-it
splunk,https://www.crunchbase.com/organization/splunk
peek,https://www.crunchbase.com/organization/peek-co
prova systems,https://www.crunchbase.com/organization/prova-systems
evolven software,https://www.crunchbase.com/organization/evolven-software
edgewave,https://www.crunchbase.com/organization/edgewave-inc
innopharma,https://www.crunchbase.com/organization/innopharma
senzari,https://www.crunchbase.com/organization/senzari
zeel,https://www.crunchbase.com/organization/zeel
hn discounts,https://www.crunchbase.com/organization/hn-discounts-corporation
flirq,https://www.crunchbase.com/organization/flirq
snipsnap,https://www.crunchbase.com/organization/snipsnap-app
250ok,https://www.crunchbase.com/organization/250ok
global filmdemic,https://www.crunchbase.com/organization/global-filmdemic
medclimate,https://www.crunchbase.com/organization/medclimate
oneaway,https://www.crunchbase.com/organization/oneaway
direct dermatology,https://www.crunchbase.com/organization/direct-dermatology
upnext,https://www.crunchbase.com/organization/upnext
mindsumo,https://www.crunchbase.com/organization/mindsumo
grassroots unwired,https://www.crunchbase.com/organization/grassroots-unwired
letscram,https://www.crunchbase.com/organization/letscram
metaweb technologies,https://www.crunchbase.com/organization/metawebtechnologies
thumb friendly,https://www.crunchbase.com/organization/thumb-friendly
lemonwise,https://www.crunchbase.com/organization/lemonwise
givit,https://www.crunchbase.com/organization/givit
gogo,https://www.crunchbase.com/organization/gogo
kraftwurx,https://www.crunchbase.com/organization/kraftwurx
tradingview,https://www.crunchbase.com/organization/tradingview
priceonomics,https://www.crunchbase.com/organization/priceonomics
wishi,https://www.crunchbase.com/organization/wishi
xeris pharmaceuticals,https://www.crunchbase.com/organization/xeris-pharmaceuticals
the deal fair,https://www.crunchbase.com/organization/the-deal-fair
sotera wireless,https://www.crunchbase.com/organization/sotera-wireless
xkoto,https://www.crunchbase.com/organization/xkoto
personal life media,https://www.crunchbase.com/organization/personallifemedia
bluesprig,https://www.crunchbase.com/organization/bluesprig
press,https://www.crunchbase.com/organization/press
etimesheets,https://www.crunchbase.com/organization/etimesheets-com
signature therapeutics,https://www.crunchbase.com/organization/signature-therapeutics-inc
cakestyle,https://www.crunchbase.com/organization/cakestyle
mobimanage,https://www.crunchbase.com/organization/mobimanage
novel therapeutic technologies,https://www.crunchbase.com/organization/novel-therapeutic-technologies
scalearc,https://www.crunchbase.com/organization/scalearc
mphoria,https://www.crunchbase.com/organization/mphoria
stitch fix,https://www.crunchbase.com/organization/stitch-fix
flickr,https://www.crunchbase.com/organization/flickr
surdoc,https://www.crunchbase.com/organization/surdoc
zumbox,https://www.crunchbase.com/organization/zumbox
crownpeak,https://www.crunchbase.com/organization/crownpeak
avosoft,https://www.crunchbase.com/organization/avosoft
extendcredit,https://www.crunchbase.com/organization/extendcredit-com
upto,https://www.crunchbase.com/organization/upto
do it in person,https://www.crunchbase.com/organization/do-it-in-person
hypemarks,https://www.crunchbase.com/organization/hypemarks
kidscash,https://www.crunchbase.com/organization/kidscash
glassbeam,https://www.crunchbase.com/organization/glassbeam-inc
eso solutions,https://www.crunchbase.com/organization/eso-solutions
beyond lucid technologies,https://www.crunchbase.com/organization/beyond-lucid-technologies
spreadsave,https://www.crunchbase.com/organization/spreadsave
n4md,https://www.crunchbase.com/organization/n4md
medrobotics,https://www.crunchbase.com/organization/medrobotics
simplepons,https://www.crunchbase.com/organization/simplepons
hook mobile,https://www.crunchbase.com/organization/hook-mobile
rover,https://www.crunchbase.com/organization/rover-com
people,https://www.crunchbase.com/organization/people-capital
venturepax,https://www.crunchbase.com/organization/venturepax
circa,https://www.crunchbase.com/organization/circa
roximity,https://www.crunchbase.com/organization/roximity
mahoot games,https://www.crunchbase.com/organization/mahoot-games
uptake medical,https://www.crunchbase.com/organization/uptake-medical
gauss surgical,https://www.crunchbase.com/organization/gauss-surgical
clear catheter systems,https://www.crunchbase.com/organization/clear-catheter-systems
betterdoctor,https://www.crunchbase.com/organization/betterdoctor-inc
nearwoo,https://www.crunchbase.com/organization/one-page
gonnabe,https://www.crunchbase.com/organization/gonnabe
osurv,https://www.crunchbase.com/organization/osurv
save on medical,https://www.crunchbase.com/organization/save-on-medical
youos,https://www.crunchbase.com/organization/youos
metacert,https://www.crunchbase.com/organization/metacert
expressor software,https://www.crunchbase.com/organization/expressor-software
djo global,https://www.crunchbase.com/organization/djo-global
workfolio,https://www.crunchbase.com/organization/workfolio
contatta,https://www.crunchbase.com/organization/contatta-inc
eved,https://www.crunchbase.com/organization/eved
clearside biomedical,https://www.crunchbase.com/organization/clearside-biomedical
apptopia,https://www.crunchbase.com/organization/apptopia
mfoundry,https://www.crunchbase.com/organization/mfoundry
choremonster,https://www.crunchbase.com/organization/choremonster
nutritionix,https://www.crunchbase.com/organization/nutritionix
syndexa pharmaceuticals,https://www.crunchbase.com/organization/syndexa-pharmaceuticals
shodogg,https://www.crunchbase.com/organization/shodogg
linkwell health,https://www.crunchbase.com/organization/linkwell-health
shopsy,https://www.crunchbase.com/organization/shopsy
q me,https://www.crunchbase.com/organization/q-me
natera,https://www.crunchbase.com/organization/natera
wallit,https://www.crunchbase.com/organization/wallit
scoutzie,https://www.crunchbase.com/organization/scoutzie
